ReactionDeletions,NoOfDels,GrowthRate,ProductFlux,CouplingStrength,DistFromIdeal
FE3tex FRK G6PDH2r/PGL HADPCOADH/HADPCOADH3 Htex O2tex PDH PPKr,8,0.08879382,9.36283578,1.30379417804976,0.979892768878302
E4PD/PERD/OHPBAT FE3tex FRK G6PDH2r/PGL HADPCOADH/HADPCOADH3 Htex O2tex PDH PPKr,9,0.08879329,9.36281654,1.30379480232772,0.979893437086048
ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PPKr VALt2rpp,8,0.08887231,9.36227261,1.47211684215207,0.953174656888005
E4PD/PERD/OHPBAT ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PPKr VALt2rpp,9,0.08887177,9.36225336,1.47211781288517,0.953175333763081
5DKGR FRK GLCptspp Htex O2tex PDH POR5 PPKr,8,0.07992939,9.3621544,1.51209214302212,0.956979914293655
FE3tex FRK G6PDH2r/PGL GLCptspp Htex MDH O2tex PACCOAL PDH,9,0.08958933,9.35703588,1.419412129047,0.96015372253793
E4PD/PERD/OHPBAT FE3tex FRK G6PDH2r/PGL GLCptspp Htex MDH O2tex PACCOAL PDH,10,0.08958911,9.3570141,1.4194131052982,0.96015409255686
FRK G6PDH2r/PGL GLCptspp Htex MDH O2tex PACCOAL PDH,8,0.0896316,9.35673245,1.4194257301864,0.96011317960688
E4PD/PERD/OHPBAT FRK G6PDH2r/PGL GLCptspp Htex MDH O2tex PACCOAL PDH,9,0.08963139,9.35671066,1.41942670694917,0.96011353967006
5DGLCNR FRK G6PDH2r/PGL Htex O2tex PACCOAL PDH POR5,8,0.09490343,9.35388732,1.44847664468124,0.950524672163703
5DGLCNR E4PD/PERD/OHPBAT FRK G6PDH2r/PGL Htex O2tex PACCOAL PDH POR5,9,0.09490278,9.35387057,1.44847744776952,0.950525443638049
FRK G6PDH2r/PGL H2tex/H2tpp Htex O2tex PACCOAL PDH POR5,8,0.09560589,9.35071332,1.37779273720692,0.960713550755182
E4PD/PERD/OHPBAT FRK G6PDH2r/PGL H2tex/H2tpp Htex O2tex PACCOAL PDH POR5,9,0.09560537,9.35068844,1.37779374242524,0.960714247250801
FRK HADPCOADH/HADPCOADH3 Htex O2tex PDH PGCD,6,0.09732272,9.34925928,0.54210620089533,1.16373988363394
5DGLCNR ACALDtex/ACALDtpp ATPS4rpp E4PD/PERD/OHPBAT ALCD2x/ETOHtex FRK Htex O2tex PGCD PPKr RPE,11,0.09406284,9.34361821,1.44896954324507,0.951445361158476
